variant,N,Q,beta,d_km,rho,x_r_argmax,kappa_ground,gap,imfrac,imfrac_ownmax,kappa_source,imfrac_source,washout_gap,p_kappa_floor,p_imfrac_floor,p_gap_raw,p_gap_scaled,near_deg_raw,near_deg_scaled,cell_class_raw,cell_class_scaled
primary,1024,10.0,0.2,100.0,0.95,68.2024,0.5610,4.796307e-22,0.6523,0.6523,,,,,,,,,,,
primary,1024,10.0,0.2,150.0,0.7,68.3035,0.6291,5.571063e-23,0.6045,0.6084,,,,,,,,,,,
primary,1024,10.0,0.2,150.0,0.85,68.3035,0.6564,5.591288e-23,0.6624,0.6624,,,,,,,,,,,
primary,1024,10.0,0.2,150.0,0.95,68.3035,0.6672,5.597101e-23,0.6912,0.6912,,,,,,,,,,,
primary,1024,10.0,0.2,250.0,0.7,76.6001,0.6504,4.806320e-24,0.5462,0.5688,,,,,,,,,,,
primary,1024,10.0,0.2,250.0,0.85,59.3999,0.6199,3.452687e-24,0.6067,0.6219,,,,,,,,,,,
primary,1024,10.0,0.2,250.0,0.95,59.3999,0.6123,3.567579e-24,0.6605,0.6605,,,,,,,,,,,
primary,1024,20.0,0.05,100.0,0.7,68.2024,0.5066,1.889135e-21,0.6102,0.6102,,,,,,,,,,,
primary,1024,20.0,0.05,100.0,0.85,68.2024,0.5103,1.873808e-21,0.6175,0.6175,,,,,,,,,,,
primary,1024,20.0,0.05,100.0,0.95,68.2024,0.5122,1.886960e-21,0.6212,0.6212,,,,,,,,,,,
primary,1024,20.0,0.05,150.0,0.7,68.3035,0.5613,2.576781e-22,0.6213,0.6309,,,,,,,,,,,
primary,1024,20.0,0.05,150.0,0.85,68.3035,0.5731,2.571414e-22,0.6490,0.6490,,,,,,,,,,,
primary,1024,20.0,0.05,150.0,0.95,68.3035,0.5798,2.570520e-22,0.6635,0.6635,,,,,,,,,,,
primary,1024,20.0,0.05,250.0,0.7,68.5059,0.6524,2.390020e-23,0.6087,0.6128,,,,,,,,,,,
primary,1024,20.0,0.05,250.0,0.85,68.5059,0.6731,2.421567e-23,0.6651,0.6659,,,,,,,,,,,
primary,1024,20.0,0.05,250.0,0.95,68.5059,0.6828,2.454386e-23,0.6940,0.6940,,,,,,,,,,,
primary,1024,20.0,0.1,100.0,0.7,68.2024,0.5367,4.873248e-22,0.6070,0.6070,,,,,,,,,,,
primary,1024,20.0,0.1,100.0,0.85,68.2024,0.5531,4.824053e-22,0.6373,0.6373,,,,,,,,,,,
primary,1024,20.0,0.1,100.0,0.95,68.2024,0.5610,4.781040e-22,0.6523,0.6523,,,,,,,,,,,
primary,1024,20.0,0.1,150.0,0.7,68.3035,0.6299,5.541619e-23,0.6043,0.6078,,,,,,,,,,,
primary,1024,20.0,0.1,150.0,0.85,68.3035,0.6570,5.563379e-23,0.6621,0.6621,,,,,,,,,,,
primary,1024,20.0,0.1,150.0,0.95,68.3035,0.6677,5.542298e-23,0.6912,0.6912,,,,,,,,,,,
primary,1024,20.0,0.1,250.0,0.7,76.6001,0.6536,4.799572e-24,0.5464,0.5699,,,,,,,,,,,
primary,1024,20.0,0.1,250.0,0.85,59.3999,0.6194,3.460422e-24,0.6065,0.6223,,,,,,,,,,,
primary,1024,20.0,0.1,250.0,0.95,59.3999,0.6128,3.582901e-24,0.6608,0.6608,,,,,,,,,,,
primary,1024,20.0,0.2,100.0,0.7,66.3811,0.6328,8.394357e-23,0.6016,0.6042,,,,,,,,,,,
primary,1024,20.0,0.2,100.0,0.85,66.3811,0.6652,8.343604e-23,0.6615,0.6615,,,,,,,,,,,
primary,1024,20.0,0.2,100.0,0.95,66.3811,0.6769,8.379451e-23,0.6921,0.6921,,,,,,,,,,,
primary,1024,20.0,0.2,150.0,0.7,73.1601,0.6518,9.090804e-24,0.5307,0.5583,,,,,,,,,,,
primary,1024,20.0,0.2,150.0,0.85,73.1601,0.6198,9.507415e-24,0.6151,0.6151,,,,,,,,,,,
primary,1024,20.0,0.2,150.0,0.95,62.8399,0.6069,7.911180e-24,0.6574,0.6574,,,,,,,,,,,
primary,1024,20.0,0.2,250.0,0.7,63.9529,0.4393,6.887955e-25,0.3279,0.4454,,,,,,,,,,,
primary,1024,20.0,0.2,250.0,0.85,59.3999,0.4067,6.687752e-25,0.4285,0.4634,,,,,,,,,,,
primary,1024,20.0,0.2,250.0,0.95,59.3999,0.3875,7.228756e-25,0.4776,0.4776,,,,,,,,,,,
widelon,64,5.0,0.05,100.0,0.7,68.2024,0.3995,3.895244e-20,0.5175,0.5175,,,,,,,,,,,
widelon,64,5.0,0.05,100.0,0.85,68.0000,0.3997,3.856877e-20,0.5180,0.5180,,,,,,,,,,,
widelon,64,5.0,0.05,100.0,0.95,68.2024,0.3998,3.892905e-20,0.5182,0.5182,,,,,,,,,,,
widelon,64,5.0,0.05,150.0,0.7,68.3035,0.4768,7.732767e-21,0.5914,0.5916,,,,,,,,,,,
widelon,64,5.0,0.05,150.0,0.85,68.3035,0.4774,7.756780e-21,0.5927,0.5927,,,,,,,,,,,
widelon,64,5.0,0.05,150.0,0.95,68.3035,0.4776,7.818950e-21,0.5932,0.5932,,,,,,,,,,,
widelon,64,5.0,0.05,250.0,0.7,69.0118,0.5572,8.159362e-22,0.6504,0.6504,,,,,,,,,,,
widelon,64,5.0,0.05,250.0,0.85,68.5059,0.5578,8.104266e-22,0.6525,0.6530,,,,,,,,,,,
widelon,64,5.0,0.05,250.0,0.95,69.0118,0.5584,8.090343e-22,0.6546,0.6546,,,,,,,,,,,
widelon,64,5.0,0.1,100.0,0.7,68.2024,0.4515,1.413227e-20,0.5684,0.5684,,,,,,,,,,,
widelon,64,5.0,0.1,100.0,0.85,68.2024,0.4524,1.414629e-20,0.5701,0.5701,,,,,,,,,,,
widelon,64,5.0,0.1,100.0,0.95,68.2024,0.4527,1.410720e-20,0.5707,0.5707,,,,,,,,,,,
widelon,64,5.0,0.1,150.0,0.7,68.3035,0.5150,2.677554e-21,0.6209,0.6209,,,,,,,,,,,
widelon,64,5.0,0.1,150.0,0.85,68.3035,0.5168,2.622919e-21,0.6242,0.6242,,,,,,,,,,,
widelon,64,5.0,0.1,150.0,0.95,68.3035,0.5176,2.669322e-21,0.6259,0.6259,,,,,,,,,,,
widelon,64,5.0,0.1,250.0,0.7,68.5059,0.5808,2.568034e-22,0.6459,0.6566,,,,,,,,,,,
widelon,64,5.0,0.1,250.0,0.85,68.5059,0.5875,2.568501e-22,0.6628,0.6647,,,,,,,,,,,
widelon,64,5.0,0.1,250.0,0.95,68.5059,0.5903,2.556256e-22,0.6710,0.6710,,,,,,,,,,,
widelon,64,5.0,0.2,100.0,0.7,68.2024,0.4796,4.376717e-21,0.5910,0.5910,,,,,,,,,,,
widelon,64,5.0,0.2,100.0,0.85,68.2024,0.4822,4.297433e-21,0.5957,0.5957,,,,,,,,,,,
widelon,64,5.0,0.2,100.0,0.95,68.2024,0.4834,4.353021e-21,0.5980,0.5980,,,,,,,,,,,
widelon,64,5.0,0.2,150.0,0.7,68.3035,0.5407,7.693626e-22,0.6255,0.6255,,,,,,,,,,,
widelon,64,5.0,0.2,150.0,0.85,68.3035,0.5477,7.595700e-22,0.6404,0.6404,,,,,,,,,,,
widelon,64,5.0,0.2,150.0,0.95,68.3035,0.5517,7.563723e-22,0.6485,0.6485,,,,,,,,,,,
widelon,64,5.0,0.2,250.0,0.7,68.5059,0.6459,6.220270e-23,0.6432,0.6467,,,,,,,,,,,
widelon,64,5.0,0.2,250.0,0.85,68.5059,0.6606,6.215100e-23,0.6783,0.6788,,,,,,,,,,,
widelon,64,5.0,0.2,250.0,0.95,68.5059,0.6678,6.291433e-23,0.6960,0.6960,,,,,,,,,,,
widelon,64,10.0,0.05,100.0,0.7,68.2024,0.4518,1.417275e-20,0.5687,0.5687,,,,,,,,,,,
widelon,64,10.0,0.05,100.0,0.85,68.2024,0.4524,1.415358e-20,0.5701,0.5701,,,,,,,,,,,
widelon,64,10.0,0.05,100.0,0.95,68.2024,0.4527,1.416883e-20,0.5707,0.5707,,,,,,,,,,,
widelon,64,10.0,0.05,150.0,0.7,68.3035,0.5152,2.639281e-21,0.6210,0.6210,,,,,,,,,,,
widelon,64,10.0,0.05,150.0,0.85,68.3035,0.5170,2.615826e-21,0.6244,0.6244,,,,,,,,,,,
widelon,64,10.0,0.05,150.0,0.95,68.3035,0.5176,2.662072e-21,0.6259,0.6259,,,,,,,,,,,
widelon,64,10.0,0.05,250.0,0.7,69.5177,0.5802,2.650772e-22,0.6466,0.6567,,,,,,,,,,,
widelon,64,10.0,0.05,250.0,0.85,68.5059,0.5868,2.543878e-22,0.6624,0.6650,,,,,,,,,,,
widelon,64,10.0,0.05,250.0,0.95,68.5059,0.5907,2.523066e-22,0.6711,0.6711,,,,,,,,,,,
widelon,64,10.0,0.1,100.0,0.7,68.2024,0.4802,4.321460e-21,0.5915,0.5915,,,,,,,,,,,
widelon,64,10.0,0.1,100.0,0.85,68.2024,0.4822,4.348540e-21,0.5957,0.5957,,,,,,,,,,,
widelon,64,10.0,0.1,100.0,0.95,68.2024,0.4834,4.323401e-21,0.5979,0.5979,,,,,,,,,,,
widelon,64,10.0,0.1,150.0,0.7,68.3035,0.5412,7.739976e-22,0.6258,0.6258,,,,,,,,,,,
widelon,64,10.0,0.1,150.0,0.85,68.3035,0.5481,7.633496e-22,0.6408,0.6408,,,,,,,,,,,
widelon,64,10.0,0.1,150.0,0.95,68.3035,0.5520,7.595001e-22,0.6486,0.6486,,,,,,,,,,,
widelon,64,10.0,0.1,250.0,0.7,68.5059,0.6449,6.152905e-23,0.6423,0.6460,,,,,,,,,,,
widelon,64,10.0,0.1,250.0,0.85,68.5059,0.6602,6.205855e-23,0.6782,0.6791,,,,,,,,,,,
widelon,64,10.0,0.1,250.0,0.95,68.5059,0.6679,6.231166e-23,0.6961,0.6961,,,,,,,,,,,
widelon,64,10.0,0.2,100.0,0.7,68.2024,0.5162,1.100196e-21,0.6063,0.6063,,,,,,,,,,,
widelon,64,10.0,0.2,100.0,0.85,68.2024,0.5272,1.078801e-21,0.6254,0.6254,,,,,,,,,,,
widelon,64,10.0,0.2,100.0,0.95,68.2024,0.5319,1.095361e-21,0.6345,0.6345,,,,,,,,,,,
widelon,64,10.0,0.2,150.0,0.7,68.3035,0.6219,1.596593e-22,0.6399,0.6399,,,,,,,,,,,
widelon,64,10.0,0.2,150.0,0.85,68.3035,0.6388,1.618585e-22,0.6749,0.6749,,,,,,,,,,,
widelon,64,10.0,0.2,150.0,0.95,68.3035,0.6480,1.596589e-22,0.6917,0.6917,,,,,,,,,,,
widelon,64,10.0,0.2,250.0,0.7,76.6001,0.6301,1.366375e-23,0.6023,0.6023,,,,,,,,,,,
widelon,64,10.0,0.2,250.0,0.85,59.3999,0.6211,7.939755e-24,0.6350,0.6463,,,,,,,,,,,
widelon,64,10.0,0.2,250.0,0.95,59.3999,0.6245,8.136877e-24,0.6739,0.6739,,,,,,,,,,,
widelon,64,20.0,0.05,100.0,0.7,68.2024,0.4796,4.367814e-21,0.5911,0.5911,,,,,,,,,,,
widelon,64,20.0,0.05,100.0,0.85,68.2024,0.4822,4.343535e-21,0.5957,0.5957,,,,,,,,,,,
widelon,64,20.0,0.05,100.0,0.95,68.2024,0.4835,4.349053e-21,0.5980,0.5980,,,,,,,,,,,
widelon,64,20.0,0.05,150.0,0.7,68.3035,0.5411,7.659589e-22,0.6253,0.6253,,,,,,,,,,,
widelon,64,20.0,0.05,150.0,0.85,68.3035,0.5486,7.642307e-22,0.6411,0.6411,,,,,,,,,,,
widelon,64,20.0,0.05,150.0,0.95,68.3035,0.5517,7.604466e-22,0.6484,0.6484,,,,,,,,,,,
widelon,64,20.0,0.05,250.0,0.7,68.5059,0.6449,6.191606e-23,0.6426,0.6462,,,,,,,,,,,
widelon,64,20.0,0.05,250.0,0.85,68.5059,0.6607,6.174158e-23,0.6785,0.6790,,,,,,,,,,,
widelon,64,20.0,0.05,250.0,0.95,68.5059,0.6677,6.199466e-23,0.6960,0.6960,,,,,,,,,,,
widelon,64,20.0,0.1,100.0,0.7,68.2024,0.5171,1.111291e-21,0.6070,0.6070,,,,,,,,,,,
widelon,64,20.0,0.1,100.0,0.85,68.2024,0.5261,1.085737e-21,0.6244,0.6244,,,,,,,,,,,
widelon,64,20.0,0.1,100.0,0.95,68.2024,0.5311,1.086334e-21,0.6340,0.6340,,,,,,,,,,,
widelon,64,20.0,0.1,150.0,0.7,68.3035,0.6203,1.602677e-22,0.6399,0.6399,,,,,,,,,,,
widelon,64,20.0,0.1,150.0,0.85,68.3035,0.6377,1.617489e-22,0.6744,0.6744,,,,,,,,,,,
widelon,64,20.0,0.1,150.0,0.95,68.3035,0.6472,1.603618e-22,0.6915,0.6915,,,,,,,,,,,
widelon,64,20.0,0.1,250.0,0.7,76.6001,0.6328,1.358946e-23,0.6032,0.6032,,,,,,,,,,,
widelon,64,20.0,0.1,250.0,0.85,59.3999,0.6206,8.045871e-24,0.6355,0.6472,,,,,,,,,,,
widelon,64,20.0,0.1,250.0,0.95,59.3999,0.6235,8.148960e-24,0.6735,0.6735,,,,,,,,,,,
widelon,64,20.0,0.2,100.0,0.7,68.2024,0.6219,1.931777e-22,0.6317,0.6317,,,,,,,,,,,
widelon,64,20.0,0.2,100.0,0.85,66.3811,0.6431,1.781786e-22,0.6708,0.6708,,,,,,,,,,,
widelon,64,20.0,0.2,100.0,0.95,66.3811,0.6547,1.811542e-22,0.6923,0.6923,,,,,,,,,,,
widelon,64,20.0,0.2,150.0,0.7,73.1601,0.6522,2.826767e-23,0.6033,0.6033,,,,,,,,,,,
widelon,64,20.0,0.2,150.0,0.85,73.1601,0.6285,2.888433e-23,0.6513,0.6513,,,,,,,,,,,
widelon,64,20.0,0.2,150.0,0.95,62.8399,0.6277,2.069928e-23,0.6763,0.6763,,,,,,,,,,,
widelon,64,20.0,0.2,250.0,0.7,63.9529,0.4225,1.785079e-24,0.3920,0.4678,,,,,,,,,,,
widelon,64,20.0,0.2,250.0,0.85,59.3999,0.4132,1.532988e-24,0.4663,0.4774,,,,,,,,,,,
widelon,64,20.0,0.2,250.0,0.95,59.3999,0.4038,1.602041e-24,0.5034,0.5034,,,,,,,,,,,
gausslon,64,5.0,0.05,100.0,0.7,67.7976,0.4333,3.540184e-21,0.5488,0.5488,,,,,,,,,,,
gausslon,64,5.0,0.05,100.0,0.85,68.0000,0.4354,3.540604e-21,0.5529,0.5529,,,,,,,,,,,
gausslon,64,5.0,0.05,100.0,0.95,68.0000,0.4361,3.556308e-21,0.5546,0.5546,,,,,,,,,,,
gausslon,64,5.0,0.05,150.0,0.7,68.0000,0.5053,6.247071e-22,0.6086,0.6086,,,,,,,,,,,
gausslon,64,5.0,0.05,150.0,0.85,67.6965,0.5082,6.204647e-22,0.6149,0.6155,,,,,,,,,,,
gausslon,64,5.0,0.05,150.0,0.95,68.0000,0.5103,6.204982e-22,0.6196,0.6196,,,,,,,,,,,
gausslon,64,5.0,0.05,250.0,0.7,68.0000,0.5705,6.255580e-23,0.6426,0.6426,,,,,,,,,,,
gausslon,64,5.0,0.05,250.0,0.85,69.0118,0.5762,6.260985e-23,0.6576,0.6576,,,,,,,,,,,
gausslon,64,5.0,0.05,250.0,0.95,68.0000,0.5791,6.225769e-23,0.6652,0.6652,,,,,,,,,,,
gausslon,64,5.0,0.1,100.0,0.7,68.2024,0.4869,1.361971e-21,0.5917,0.5917,,,,,,,,,,,
gausslon,64,5.0,0.1,100.0,0.85,68.0000,0.4919,1.362590e-21,0.6015,0.6015,,,,,,,,,,,
gausslon,64,5.0,0.1,100.0,0.95,68.0000,0.4943,1.349660e-21,0.6064,0.6064,,,,,,,,,,,
gausslon,64,5.0,0.1,150.0,0.7,68.3035,0.5396,2.259344e-22,0.6195,0.6195,,,,,,,,,,,
gausslon,64,5.0,0.1,150.0,0.85,67.6965,0.5489,2.237891e-22,0.6392,0.6392,,,,,,,,,,,
gausslon,64,5.0,0.1,150.0,0.95,68.3035,0.5527,2.218154e-22,0.6485,0.6485,,,,,,,,,,,
gausslon,64,5.0,0.1,250.0,0.7,70.5295,0.5820,2.146894e-23,0.6156,0.6156,,,,,,,,,,,
gausslon,64,5.0,0.1,250.0,0.85,70.0236,0.5972,2.144994e-23,0.6544,0.6545,,,,,,,,,,,
gausslon,64,5.0,0.1,250.0,0.95,67.4941,0.6094,2.064034e-23,0.6699,0.6738,,,,,,,,,,,
gausslon,64,5.0,0.2,100.0,0.7,68.2024,0.5040,4.469877e-22,0.5869,0.5869,,,,,,,,,,,
gausslon,64,5.0,0.2,100.0,0.85,68.2024,0.5192,4.369154e-22,0.6150,0.6150,,,,,,,,,,,
gausslon,64,5.0,0.2,100.0,0.95,68.2024,0.5263,4.373736e-22,0.6291,0.6291,,,,,,,,,,,
gausslon,64,5.0,0.2,150.0,0.7,67.3929,0.5370,7.307541e-23,0.5949,0.5949,,,,,,,,,,,
gausslon,64,5.0,0.2,150.0,0.85,67.6965,0.5626,6.637894e-23,0.6117,0.6306,,,,,,,,,,,
gausslon,64,5.0,0.2,150.0,0.95,68.3035,0.5831,6.689705e-23,0.6555,0.6555,,,,,,,,,,,
gausslon,64,5.0,0.2,250.0,0.7,68.5059,0.5841,5.209743e-24,0.4814,0.5486,,,,,,,,,,,
gausslon,64,5.0,0.2,250.0,0.85,68.5059,0.6489,5.185478e-24,0.6019,0.6062,,,,,,,,,,,
gausslon,64,5.0,0.2,250.0,0.95,68.5059,0.6799,5.295941e-24,0.6754,0.6754,,,,,,,,,,,
gausslon,64,10.0,0.05,100.0,0.7,68.4047,0.4861,1.376049e-21,0.5909,0.5909,,,,,,,,,,,
gausslon,64,10.0,0.05,100.0,0.85,68.2024,0.4915,1.378664e-21,0.6013,0.6013,,,,,,,,,,,
gausslon,64,10.0,0.05,100.0,0.95,68.0000,0.4943,1.352102e-21,0.6064,0.6064,,,,,,,,,,,
gausslon,64,10.0,0.05,150.0,0.7,67.6965,0.5405,2.260545e-22,0.6204,0.6204,,,,,,,,,,,
gausslon,64,10.0,0.05,150.0,0.85,68.3035,0.5488,2.246688e-22,0.6392,0.6392,,,,,,,,,,,
gausslon,64,10.0,0.05,150.0,0.95,68.3035,0.5527,2.263586e-22,0.6485,0.6485,,,,,,,,,,,
gausslon,64,10.0,0.05,250.0,0.7,70.0236,0.5816,2.152519e-23,0.6156,0.6159,,,,,,,,,,,
gausslon,64,10.0,0.05,250.0,0.85,68.5059,0.5977,2.081918e-23,0.6340,0.6543,,,,,,,,,,,
gausslon,64,10.0,0.05,250.0,0.95,68.5059,0.6108,2.091641e-23,0.6705,0.6736,,,,,,,,,,,
gausslon,64,10.0,0.1,100.0,0.7,68.2024,0.5043,4.426188e-22,0.5868,0.5868,,,,,,,,,,,
gausslon,64,10.0,0.1,100.0,0.85,68.2024,0.5193,4.399242e-22,0.6152,0.6152,,,,,,,,,,,
gausslon,64,10.0,0.1,100.0,0.95,68.2024,0.5263,4.364315e-22,0.6291,0.6291,,,,,,,,,,,
gausslon,64,10.0,0.1,150.0,0.7,67.3929,0.5338,7.209591e-23,0.5915,0.5924,,,,,,,,,,,
gausslon,64,10.0,0.1,150.0,0.85,67.6965,0.5629,6.753607e-23,0.6127,0.6320,,,,,,,,,,,
gausslon,64,10.0,0.1,150.0,0.95,68.3035,0.5840,6.735463e-23,0.6563,0.6563,,,,,,,,,,,
gausslon,64,10.0,0.1,250.0,0.7,68.5059,0.5828,5.281889e-24,0.4833,0.5465,,,,,,,,,,,
gausslon,64,10.0,0.1,250.0,0.85,68.5059,0.6483,5.203468e-24,0.6031,0.6068,,,,,,,,,,,
gausslon,64,10.0,0.1,250.0,0.95,68.5059,0.6788,5.346624e-24,0.6753,0.6753,,,,,,,,,,,
gausslon,64,10.0,0.2,100.0,0.7,68.2024,0.4777,1.245833e-22,0.4963,0.5145,,,,,,,,,,,
gausslon,64,10.0,0.2,100.0,0.85,68.2024,0.5378,1.157615e-22,0.5890,0.5890,,,,,,,,,,,
gausslon,64,10.0,0.2,100.0,0.95,68.2024,0.5683,1.143812e-22,0.6443,0.6443,,,,,,,,,,,
gausslon,64,10.0,0.2,150.0,0.7,70.4283,0.5293,1.577466e-23,0.4530,0.5365,,,,,,,,,,,
gausslon,64,10.0,0.2,150.0,0.85,68.3035,0.6214,1.471149e-23,0.5828,0.5916,,,,,,,,,,,
gausslon,64,10.0,0.2,150.0,0.95,65.5717,0.6629,1.422575e-23,0.6671,0.6671,,,,,,,,,,,
gausslon,64,10.0,0.2,250.0,0.7,60.4116,0.5918,1.095178e-24,0.4136,0.5179,,,,,,,,,,,
gausslon,64,10.0,0.2,250.0,0.85,76.6001,0.6325,9.738225e-25,0.5284,0.5664,,,,,,,,,,,
gausslon,64,10.0,0.2,250.0,0.95,59.3999,0.6077,8.351410e-25,0.6260,0.6286,,,,,,,,,,,
gausslon,64,20.0,0.05,100.0,0.7,67.7976,0.5039,4.436976e-22,0.5868,0.5872,,,,,,,,,,,
gausslon,64,20.0,0.05,100.0,0.85,68.2024,0.5193,4.397677e-22,0.6153,0.6153,,,,,,,,,,,
gausslon,64,20.0,0.05,100.0,0.95,68.2024,0.5264,4.369236e-22,0.6292,0.6292,,,,,,,,,,,
gausslon,64,20.0,0.05,150.0,0.7,67.3929,0.5360,7.176435e-23,0.5932,0.5932,,,,,,,,,,,
gausslon,64,20.0,0.05,150.0,0.85,68.3035,0.5650,6.728462e-23,0.6135,0.6308,,,,,,,,,,,
gausslon,64,20.0,0.05,150.0,0.95,68.3035,0.5835,6.647635e-23,0.6557,0.6557,,,,,,,,,,,
gausslon,64,20.0,0.05,250.0,0.7,68.5059,0.5787,5.284391e-24,0.4812,0.5491,,,,,,,,,,,
gausslon,64,20.0,0.05,250.0,0.85,68.5059,0.6500,5.187138e-24,0.6031,0.6059,,,,,,,,,,,
gausslon,64,20.0,0.05,250.0,0.95,68.5059,0.6780,5.273696e-24,0.6750,0.6752,,,,,,,,,,,
gausslon,64,20.0,0.1,100.0,0.7,68.2024,0.4763,1.250816e-22,0.4960,0.5143,,,,,,,,,,,
gausslon,64,20.0,0.1,100.0,0.85,68.2024,0.5381,1.143615e-22,0.5895,0.5895,,,,,,,,,,,
gausslon,64,20.0,0.1,100.0,0.95,68.2024,0.5683,1.128955e-22,0.6444,0.6444,,,,,,,,,,,
gausslon,64,20.0,0.1,150.0,0.7,68.3035,0.5279,1.556904e-23,0.4484,0.5333,,,,,,,,,,,
gausslon,64,20.0,0.1,150.0,0.85,68.3035,0.6219,1.474877e-23,0.5822,0.5930,,,,,,,,,,,
gausslon,64,20.0,0.1,150.0,0.95,65.5717,0.6626,1.421600e-23,0.6672,0.6676,,,,,,,,,,,
gausslon,64,20.0,0.1,250.0,0.7,60.4116,0.5928,1.084300e-24,0.4131,0.5202,,,,,,,,,,,
gausslon,64,20.0,0.1,250.0,0.85,76.6001,0.6293,9.977413e-25,0.5321,0.5661,,,,,,,,,,,
gausslon,64,20.0,0.1,250.0,0.95,59.3999,0.6088,8.358132e-25,0.6272,0.6275,,,,,,,,,,,
gausslon,64,20.0,0.2,100.0,0.7,69.6189,0.4836,2.454170e-23,0.4115,0.4890,,,,,,,,,,,
gausslon,64,20.0,0.2,100.0,0.85,69.6189,0.6140,2.178563e-23,0.5589,0.5591,,,,,,,,,,,
